Date,,Rachel / Papineau,Berri1,Maisonneuve_1,Maisonneuve_2,Brébeuf,Parc,CSC (Côte Sainte-Catherine),PierDup
01/01/2010,00:00,,36,17,37,0,,,
02/01/2010,00:00,,28,24,47,0,,,
03/01/2010,00:00,,39,22,56,0,,,
04/01/2010,00:00,,117,71,237,0,,,
05/01/2010,00:00,,225,88,309,0,,,
06/01/2010,00:00,,203,102,339,0,,,
07/01/2010,00:00,,192,111,307,0,,,
08/01/2010,00:00,,261,125,333,0,,,
09/01/2010,00:00,,88,49,118,0,,,
10/01/2010,00:00,,97,49,93,0,,,
11/01/2010,00:00,,231,125,394,0,,,
12/01/2010,00:00,,277,151,428,0,,,
13/01/2010,00:00,,256,113,403,0,,,
14/01/2010,00:00,,271,161,413,0,,,
15/01/2010,00:00,,301,174,456,0,,,
16/01/2010,00:00,,156,68,191,0,,,
17/01/2010,00:00,,133,62,171,0,,,
18/01/2010,00:00,,277,152,463,0,,,
19/01/2010,00:00,,350,173,483,0,,,
20/01/2010,00:00,,272,177,479,0,,,
21/01/2010,00:00,,318,197,518,0,,,
22/01/2010,00:00,,323,202,493,0,,,
23/01/2010,00:00,,165,90,208,0,,,
24/01/2010,00:00,,146,75,199,0,,,
25/01/2010,00:00,,183,97,362,0,,,
26/01/2010,00:00,,303,186,517,0,,,
27/01/2010,00:00,,376,198,533,0,,,
28/01/2010,00:00,,221,154,361,0,,,
29/01/2010,00:00,,159,92,260,0,,,
30/01/2010,00:00,,56,37,70,0,,,
31/01/2010,00:00,,82,53,77,0,,,
01/02/2010,00:00,,233,111,348,0,,,
02/02/2010,00:00,,270,136,366,0,,,
03/02/2010,00:00,,270,159,444,0,,,
04/02/2010,00:00,,260,163,389,0,,,
05/02/2010,00:00,,246,181,397,0,,,
06/02/2010,00:00,,111,70,149,0,,,
07/02/2010,00:00,,122,65,143,0,,,
08/02/2010,00:00,,222,147,382,0,,,
09/02/2010,00:00,,326,199,442,0,,,
10/02/2010,00:00,,339,199,520,0,,,
11/02/2010,00:00,,355,233,524,0,,,
12/02/2010,00:00,,314,218,455,0,,,
13/02/2010,00:00,,153,90,191,0,,,
14/02/2010,00:00,,131,66,165,0,,,
15/02/2010,00:00,,291,169,513,0,,,
16/02/2010,00:00,,416,220,558,0,,,
17/02/2010,00:00,,415,225,545,0,,,
18/02/2010,00:00,,345,239,581,0,,,
19/02/2010,00:00,,237,170,314,0,,,
20/02/2010,00:00,,124,74,111,0,,,
21/02/2010,00:00,,163,75,108,0,,,
22/02/2010,00:00,,329,195,412,0,,,
23/02/2010,00:00,,251,151,351,0,,,
24/02/2010,00:00,,191,123,293,0,,,
25/02/2010,00:00,,186,149,284,0,,,
26/02/2010,00:00,,214,127,343,0,,,
27/02/2010,00:00,,194,99,170,0,,,
28/02/2010,00:00,,146,80,157,0,,,
01/03/2010,00:00,,398,255,647,0,,,
02/03/2010,00:00,,574,347,945,0,,,
03/03/2010,00:00,,619,393,983,0,,,
04/03/2010,00:00,,624,431,1009,0,,,
05/03/2010,00:00,,629,407,995,0,,,
06/03/2010,00:00,,687,356,820,0,,,
07/03/2010,00:00,,571,322,648,0,,,
08/03/2010,00:00,,921,591,1402,0,,,
09/03/2010,00:00,,1050,650,1464,0,,,
10/03/2010,00:00,,1218,759,1659,0,,,
11/03/2010,00:00,,1208,789,1747,0,,,
12/03/2010,00:00,,1053,671,1585,0,,,
13/03/2010,00:00,,859,454,977,0,,,
14/03/2010,00:00,,156,96,249,0,,,
15/03/2010,00:00,,1146,742,1625,0,,,
16/03/2010,00:00,,1836,1115,2074,0,,,
17/03/2010,00:00,,1735,1129,2407,0,,,
18/03/2010,00:00,,1658,1070,2178,0,,,
19/03/2010,00:00,,1749,1188,2338,0,,,
20/03/2010,00:00,,747,460,998,0,,,
21/03/2010,00:00,,495,225,567,0,,,
22/03/2010,00:00,,1032,684,1492,0,,,
23/03/2010,00:00,,370,199,521,0,,,
24/03/2010,00:00,,1004,680,1420,0,,,
25/03/2010,00:00,,1535,955,2004,0,,,
26/03/2010,00:00,,846,593,1198,0,,,
27/03/2010,00:00,,538,358,713,0,,,
28/03/2010,00:00,,512,290,730,0,,,
29/03/2010,00:00,,470,319,714,0,,,
30/03/2010,00:00,,1022,729,1422,0,,,
31/03/2010,00:00,,1238,821,1845,6,,,
01/04/2010,00:00,,2049,1322,2767,1407,,,
02/04/2010,00:00,,2816,1217,2387,3027,,,
03/04/2010,00:00,,3072,1185,2282,3494,,,
04/04/2010,00:00,,1681,744,1676,2116,,,
05/04/2010,00:00,,1175,733,1594,1438,,,
06/04/2010,00:00,,2558,1557,3105,2429,,,
07/04/2010,00:00,,1448,941,2049,1311,,,
08/04/2010,00:00,,1617,1046,2229,1461,,,
09/04/2010,00:00,,1305,853,1858,1171,,,
10/04/2010,00:00,,1219,724,1389,1458,,,
11/04/2010,00:00,,1318,722,1437,1682,,,
12/04/2010,00:00,,2687,1606,3223,2846,,,
13/04/2010,00:00,,3407,1897,3656,3531,,,
14/04/2010,00:00,,3235,1991,3563,3631,,,
15/04/2010,00:00,,2950,1769,3479,3200,,,
16/04/2010,00:00,,723,562,1147,357,,,
17/04/2010,00:00,,723,504,896,518,,,
18/04/2010,00:00,,573,355,724,139,,,
19/04/2010,00:00,,3115,1727,3306,1038,,,
20/04/2010,00:00,,3671,2219,4099,2536,,,
21/04/2010,00:00,,3963,2429,4316,1063,,,
22/04/2010,00:00,,3158,2162,3877,664,,,
23/04/2010,00:00,,3597,2374,4370,381,,,
24/04/2010,00:00,,3490,1742,3028,1168,,,
25/04/2010,00:00,,3092,1356,2651,326,,,
26/04/2010,00:00,,3921,2339,4520,415,,,
27/04/2010,00:00,,527,336,752,10,,,
28/04/2010,00:00,,1400,1033,2149,78,,,
29/04/2010,00:00,,3355,2283,4221,200,,,
30/04/2010,00:00,,4143,2606,4798,2125,,,
01/05/2010,00:00,,2433,1378,2391,258,,,
02/05/2010,00:00,,2677,1423,2647,291,,,
03/05/2010,00:00,,2794,1839,3480,44,,,
04/05/2010,00:00,,3750,2494,4524,128,,,
05/05/2010,00:00,,5333,3242,5595,140,,,
06/05/2010,00:00,,3354,2265,4349,1361,,,
07/05/2010,00:00,,4276,2783,4920,146,,,
08/05/2010,00:00,,702,488,962,0,,,
09/05/2010,00:00,,545,277,637,0,,,
10/05/2010,00:00,,3110,2149,4012,19,,,
11/05/2010,00:00,,4423,2936,5182,3012,,,
12/05/2010,00:00,,4596,3163,5553,141,,,
13/05/2010,00:00,,5069,3273,5641,157,,,
14/05/2010,00:00,,2916,2114,3746,20,,,
15/05/2010,00:00,,1605,1063,1909,41,,,
16/05/2010,00:00,,4726,1904,3519,534,,,
17/05/2010,00:00,,5936,3442,6213,193,,,
18/05/2010,00:00,,6322,3776,6669,330,,,
19/05/2010,00:00,,5770,3525,6289,0,,,
20/05/2010,00:00,,5356,3482,6175,0,,,
21/05/2010,00:00,,5748,3547,5882,0,,,
22/05/2010,00:00,,3169,1859,3343,0,,,
23/05/2010,00:00,,4821,2088,3880,0,,,
24/05/2010,00:00,,4364,1997,3768,0,,,
25/05/2010,00:00,,6430,3778,6449,0,,,
26/05/2010,00:00,,5673,3570,6368,0,,,
27/05/2010,00:00,,5988,3986,6860,0,,,
28/05/2010,00:00,,6181,3934,6947,0,,,
29/05/2010,00:00,,4599,2430,4542,0,,,
30/05/2010,00:00,,3737,2003,4104,0,,,
31/05/2010,00:00,,5596,3345,6474,0,,,
01/06/2010,00:00,,2786,1891,3255,0,,,
02/06/2010,00:00,,6791,4150,7204,3799,,,
03/06/2010,00:00,,3676,2441,4649,3841,,,
04/06/2010,00:00,,7083,4513,6939,9258,,,
05/06/2010,00:00,,2884,1808,2816,3168,,,
06/06/2010,00:00,,989,766,1234,1691,,,
07/06/2010,00:00,,5128,3362,5755,5814,,,
08/06/2010,00:00,,6281,3933,6631,6489,,,
09/06/2010,00:00,,6377,4068,7120,6702,,,
10/06/2010,00:00,,2387,1591,2976,2453,,,
11/06/2010,00:00,,5695,3945,6054,5819,,,
12/06/2010,00:00,,4226,2823,4031,4822,,,
13/06/2010,00:00,,5052,2799,4531,5760,,,
14/06/2010,00:00,,3810,2730,3867,3895,,,
15/06/2010,00:00,,7495,5077,7129,7427,,,
16/06/2010,00:00,,3447,2363,4062,2618,,,
17/06/2010,00:00,,5242,3472,5511,4465,,,
18/06/2010,00:00,,7288,4909,6556,5904,,,
19/06/2010,00:00,,4178,2308,3458,4143,,,
20/06/2010,00:00,,3350,1719,3141,3788,,,
21/06/2010,00:00,,6526,3892,6739,6026,,,
22/06/2010,00:00,,6821,3876,6574,5380,,,
23/06/2010,00:00,,5052,3353,6030,4370,,,
24/06/2010,00:00,,2420,1231,2457,2565,,,
25/06/2010,00:00,,5442,3705,5550,3988,,,
26/06/2010,00:00,,4040,2857,3714,3567,,,
27/06/2010,00:00,,4702,2709,3790,4100,,,
28/06/2010,00:00,,2976,2040,3916,2511,,,
29/06/2010,00:00,,4985,3463,5107,3674,,,
30/06/2010,00:00,,4484,3002,5271,3561,,,
01/07/2010,00:00,,4089,2402,3380,3430,,,
02/07/2010,00:00,,6108,3780,5622,4990,,,
03/07/2010,00:00,,5245,2996,4387,4892,,,
04/07/2010,00:00,,4297,2622,3620,4071,,,
05/07/2010,00:00,,6502,4472,6720,5546,,,
06/07/2010,00:00,,6313,4083,6698,5186,,,
07/07/2010,00:00,,5469,3269,6089,4523,,,
08/07/2010,00:00,,5193,3131,6233,3998,,,
09/07/2010,00:00,,3294,1983,3799,2687,,,
10/07/2010,00:00,,3991,2276,3720,4051,,,
11/07/2010,00:00,,4090,1855,3730,4246,,,
12/07/2010,00:00,,5261,3300,6208,5395,,,
13/07/2010,00:00,,3535,2330,4339,3201,,,
14/07/2010,00:00,,6244,3939,6900,6442,,,
15/07/2010,00:00,,6010,4040,7148,6431,,,
16/07/2010,00:00,,4215,2853,5152,4146,,,
17/07/2010,00:00,,2901,1746,3134,3130,,,
18/07/2010,00:00,,4262,2377,3705,4639,,,
19/07/2010,00:00,,2352,1618,3308,2533,,,
20/07/2010,00:00,,6703,4105,7105,6694,,,
21/07/2010,00:00,,5126,3144,5767,4913,,,
22/07/2010,00:00,,6475,3828,6783,6192,,,
23/07/2010,00:00,,5218,3182,5556,4924,,,
24/07/2010,00:00,,4239,2447,3489,4030,,,
25/07/2010,00:00,,4337,2401,3786,4393,,,
26/07/2010,00:00,,5975,3555,6316,6334,,,
27/07/2010,00:00,,6569,3920,7048,6657,,,
28/07/2010,00:00,,5040,3296,5971,5084,,,
29/07/2010,00:00,,5974,3863,6598,6007,,,
30/07/2010,00:00,,4848,3623,5662,5322,,,
31/07/2010,00:00,,60,766,3779,4717,,,
01/08/2010,00:00,,79,836,3768,5040,,,
02/08/2010,00:00,,4864,2926,5189,5016,,,
03/08/2010,00:00,,2112,1309,2305,1923,,,
04/08/2010,00:00,,3523,2108,4281,3475,,,
05/08/2010,00:00,,4657,2946,5540,4801,,,
06/08/2010,00:00,,4713,3059,5500,4811,,,
07/08/2010,00:00,,4313,2417,3878,4625,,,
08/08/2010,00:00,,2045,1134,1994,2334,,,
09/08/2010,00:00,,4569,2868,5212,4854,,,
10/08/2010,00:00,,5203,3269,5737,5031,,,
11/08/2010,00:00,,6429,3790,6692,6267,,,
12/08/2010,00:00,,6082,3698,6491,6107,,,
13/08/2010,00:00,,5506,2841,6070,5597,,,
14/08/2010,00:00,,4507,1141,3919,4620,,,
15/08/2010,00:00,,2994,1664,2776,2906,,,
16/08/2010,00:00,,2920,1772,3805,3348,,,
17/08/2010,00:00,,5967,3708,6513,6325,,,
18/08/2010,00:00,,5631,3518,6460,6257,,,
19/08/2010,00:00,,5488,3457,6267,5739,,,
20/08/2010,00:00,,5352,3305,5852,5699,,,
21/08/2010,00:00,,1925,1022,2293,2293,,,
22/08/2010,00:00,,848,467,1193,1146,,,
23/08/2010,00:00,,4152,2524,5092,4835,,,
24/08/2010,00:00,,6578,4086,6670,6810,,,
25/08/2010,00:00,,5251,3289,6041,5448,,,
26/08/2010,00:00,,4960,3130,5718,5266,,,
27/08/2010,00:00,,5349,3302,6015,5840,,,
28/08/2010,00:00,,4254,2260,3965,4702,,,
29/08/2010,00:00,,4403,2472,3752,5130,,,
30/08/2010,00:00,,5784,3523,6500,6335,,,
31/08/2010,00:00,,6030,3743,6728,6313,,,
01/09/2010,00:00,,5367,2881,6290,6143,,,
02/09/2010,00:00,,5004,2973,6019,5311,,,
03/09/2010,00:00,,5118,3029,6228,5369,,,
04/09/2010,00:00,,2337,1343,2741,2495,,,
05/09/2010,00:00,,2193,1123,2665,2561,,,
06/09/2010,00:00,,2766,1465,2367,3092,,,
07/09/2010,00:00,,4790,2571,5665,4171,,,
08/09/2010,00:00,,4283,2293,5518,3943,,,
09/09/2010,00:00,,3692,2194,5095,3741,,,
10/09/2010,00:00,,5397,3195,6501,5530,,,
11/09/2010,00:00,,4397,2496,4182,4958,,,
12/09/2010,00:00,,2061,1052,2478,2300,,,
13/09/2010,00:00,,3926,2082,5092,3938,,,
14/09/2010,00:00,,4480,2404,5690,4321,,,
15/09/2010,00:00,,4837,2583,6572,4786,,,
16/09/2010,00:00,,3073,1814,4284,3092,,,
17/09/2010,00:00,,4985,2949,5544,4631,,,
18/09/2010,00:00,,4812,2740,3476,4364,,,
19/09/2010,00:00,,4991,2542,3227,4352,,,
20/09/2010,00:00,,4939,2620,6438,5128,,,
21/09/2010,00:00,,4518,2416,5643,4448,,,
22/09/2010,00:00,,3924,2099,5096,3949,,,
23/09/2010,00:00,,4438,2631,5993,4498,,,
24/09/2010,00:00,,2515,1487,3793,2613,,,
25/09/2010,00:00,,2448,1396,2889,2785,,,
26/09/2010,00:00,,1380,704,1802,1746,,,
27/09/2010,00:00,,3726,1977,4689,3786,,,
28/09/2010,00:00,,2568,1371,3395,2336,,,
29/09/2010,00:00,,3953,2116,5459,3874,,,
30/09/2010,00:00,,1367,808,1964,1420,,,
01/10/2010,00:00,,2252,1311,3296,2288,,,
02/10/2010,00:00,,2034,1304,2738,2675,,,
03/10/2010,00:00,1292,1748,1066,2221,2157,,,
04/10/2010,00:00,3185,3859,2278,5323,4040,,,
05/10/2010,00:00,3721,4733,2936,5959,4742,,1131,
06/10/2010,00:00,1922,2377,1457,3359,2464,1074,1239,
07/10/2010,00:00,2419,2358,1468,3398,2488,1947,1158,
08/10/2010,00:00,2217,2404,1311,3215,2490,1899,1132,203
09/10/2010,00:00,2277,1911,1267,2123,2158,1108,685,672
10/10/2010,00:00,1802,1502,832,1586,1719,804,577,566
11/10/2010,00:00,2352,1905,983,1837,2480,1089,834,1070
12/10/2010,00:00,2885,4075,2617,4896,3814,2991,1879,685
13/10/2010,00:00,3271,4068,2630,5219,4059,3161,1921,879
14/10/2010,00:00,2600,3296,2301,4635,3308,2715,1592,508
15/10/2010,00:00,786,789,481,1047,820,737,409,77
16/10/2010,00:00,1804,1459,1115,1931,1581,1019,612,324
17/10/2010,00:00,2307,1619,1052,2021,2045,1126,789,494
18/10/2010,00:00,2487,3398,2223,4364,3199,2713,1658,512
19/10/2010,00:00,2770,3783,2386,4539,3302,2753,1745,507
20/10/2010,00:00,2937,3598,2542,4596,3604,2808,1731,564
21/10/2010,00:00,1369,1484,1003,2120,1371,1376,709,113
22/10/2010,00:00,2225,2694,1789,3491,2482,2118,1111,364
23/10/2010,00:00,2055,1794,1124,2184,1849,1159,651,501
24/10/2010,00:00,1297,948,617,1215,1131,782,395,125
25/10/2010,00:00,1300,1214,887,1986,1373,1396,608,132
26/10/2010,00:00,2175,2355,1764,3547,2679,2304,1193,427
27/10/2010,00:00,2841,3327,2205,4814,3700,2727,1469,678
28/10/2010,00:00,2424,2809,1952,4099,2910,2558,1318,394
29/10/2010,00:00,1899,2174,1477,3093,2149,1854,897,233
30/10/2010,00:00,1203,827,540,1035,998,580,376,136
31/10/2010,00:00,1062,777,491,1017,854,536,303,145
01/11/2010,00:00,2005,2273,1490,3121,2271,1952,1216,214
02/11/2010,00:00,2112,2748,1725,3513,2609,2257,1362,224
03/11/2010,00:00,2239,2894,1804,3761,2693,2291,1405,296
04/11/2010,00:00,1270,1579,1033,2170,1489,1554,761,71
05/11/2010,00:00,1007,1008,702,1492,990,1056,509,41
06/11/2010,00:00,1432,1214,812,1512,1301,813,486,211
07/11/2010,00:00,1415,1163,739,1495,1415,892,474,238
08/11/2010,00:00,1449,1601,964,2053,1590,1467,809,96
09/11/2010,00:00,1922,2430,1496,3084,2156,1943,1142,149
10/11/2010,00:00,2119,2658,1732,3424,2493,2110,1273,242
11/11/2010,00:00,2380,2433,1597,3342,2512,1997,1224,238
12/11/2010,00:00,2197,2460,1751,3137,2359,1949,1078,264
13/11/2010,00:00,1809,1594,1063,1842,1757,941,552,381
14/11/2010,00:00,1509,1270,765,1446,1407,908,510,361
15/11/2010,00:00,2004,2192,1389,3030,2143,1897,1145,145
16/11/2010,00:00,2269,2693,1682,3404,1212,2084,1335,236
17/11/2010,00:00,954,941,641,1345,0,972,515,39
18/11/2010,00:00,1817,2138,1433,2843,0,1742,1074,143
19/11/2010,00:00,1685,1803,1253,2352,0,1489,770,113
20/11/2010,00:00,980,896,599,1112,0,597,353,67
21/11/2010,00:00,921,687,429,842,0,551,288,67
22/11/2010,00:00,895,965,632,1506,0,1017,503,44
23/11/2010,00:00,1141,1179,799,1683,0,1113,487,59
24/11/2010,00:00,1462,1580,1074,2268,0,1413,733,112
25/11/2010,00:00,1286,1392,896,2015,0,1285,606,73
26/11/2010,00:00,639,557,408,841,0,479,201,6
27/11/2010,00:00,345,267,163,327,0,160,29,2
28/11/2010,00:00,500,331,204,441,0,219,16,8
29/11/2010,00:00,1175,1049,741,1739,0,1109,158,94
30/11/2010,00:00,974,962,628,1417,0,990,312,54
01/12/2010,00:00,548,511,388,834,0,623,229,28
02/12/2010,00:00,1135,1072,632,1485,0,994,454,75
03/12/2010,00:00,1111,983,693,1440,0,973,523,94
04/12/2010,00:00,461,287,173,374,0,242,137,24
05/12/2010,00:00,366,231,150,335,0,204,51,15
06/12/2010,00:00,396,312,216,580,0,340,118,11
07/12/2010,00:00,0,122,41,102,0,55,0,2
08/12/2010,00:00,2,159,83,228,0,97,0,2
09/12/2010,00:00,5,152,140,335,0,126,0,0
10/12/2010,00:00,1,196,162,376,0,116,24,0
11/12/2010,00:00,0,133,79,190,0,67,8,0
12/12/2010,00:00,1,67,29,98,0,40,1,0
13/12/2010,00:00,45,186,119,323,0,166,15,0
14/12/2010,00:00,2,160,66,248,0,92,0,0
15/12/2010,00:00,68,157,105,271,0,121,1,0
16/12/2010,00:00,99,138,63,287,0,99,0,0
17/12/2010,00:00,88,125,143,317,0,82,8,0
18/12/2010,00:00,29,90,61,123,0,25,1,0
19/12/2010,00:00,32,95,46,102,0,24,0,0
20/12/2010,00:00,89,198,122,335,0,98,14,0
21/12/2010,00:00,99,259,157,348,0,85,8,0
22/12/2010,00:00,81,200,129,321,0,76,6,0
23/12/2010,00:00,57,164,96,235,0,70,0,0
24/12/2010,00:00,59,83,52,114,0,34,0,0
25/12/2010,00:00,17,29,35,28,0,14,0,0
26/12/2010,00:00,23,32,35,55,0,17,0,0
27/12/2010,00:00,23,50,53,86,0,32,0,0
28/12/2010,00:00,40,120,61,96,0,42,0,0
29/12/2010,00:00,62,143,90,185,0,60,0,0
30/12/2010,00:00,99,149,122,233,0,68,1,0
31/12/2010,00:00,115,105,78,159,0,55,1,0
